ano,mes,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2020,AGOSTO,CABANAGEM,BELEM,VIA PUBLICA,"-1,375926","-48,4355803",04:30:00
2020,JULHO,SACRAMENTA,BELEM,VIA PUBLICA,"-1,4190834","-48,4800355",05:40:00
2020,AGOSTO,MARACACUERA,ICOARACI,VIA PUBLICA,"-1,3021700994214431","-48,45559716224671",19:30:00
2020,JANEIRO,MARCO,BELEM,VIA PUBLICA,"-1,4316152","-48,4552853",13:00:00
2020,FEVEREIRO,VAL-DE-CANS,BELEM,VIA PUBLICA,-1.3963274,-48.4762786,16:54:00
2020,MAIO,AGUA BOA,OUTEIRO,VIA PUBLICA,"-1,3517512","-48,4602191",20:40:00
2020,OUTUBRO,SAO BRAS,BELEM,VIA PUBLICA,"-1,4529199","-48,470644",03:00:00
2020,NOVEMBRO,PARQUE GUAJARA,ICOARACI,VIA PUBLICA,"-1,321894","-48,4504714",02:00:00
2021,DEZEMBRO,PARQUE GUAJARA,ICOARACI,VIA PUBLICA,"-1,321894","-48,4504714",20:30:00
2021,NOVEMBRO,JURUNAS,BELEM,VIA PUBLICA,"-1,4749243","-48,4949603",03:00:00
2021,SETEMBRO,MARCO,BELEM,HOSPITAL,"-1,4448826","-48,4656236",01:20:00
2021,DEZEMBRO,COQUEIRO BELEM,BELEM,VIA PUBLICA,"-1,35349","-48,431015",04:00:00
2021,DEZEMBRO,GUAMA,BELEM,HOSPITAL,"-1,4619312","-48,4702257",00:55:00
2021,JUNHO,MARCO,BELEM,HOSPITAL,"-1,4316152","-48,4552853",08:08:00
2021,NOVEMBRO,VILA,MOSQUEIRO,VIA PUBLICA,"-1,1672116","-48,4669002",04:00:00
2021,DEZEMBRO,CONDOR,BELEM,VIA PUBLICA,"-1,4749478","-48,4729378",22:30:00
2021,JULHO,CHAPEU VIRADO,MOSQUEIRO,VIA PUBLICA,"-1,1221515","-48,4320099",14:40:00
2021,NOVEMBRO,MARAMBAIA,BELEM,VIA PUBLICA,"-1,403899","-48,4410846",00:30:00
2021,MARCO,MARCO,BELEM,VIA PUBLICA,"-1,43662","-48,4585207",06:30:00
2021,JANEIRO,MARACACUERA,ICOARACI,VIA PUBLICA,"-1,2997407","-48,44716",06:30:00
2021,OUTUBRO,PEDREIRA,BELEM,VIA PUBLICA,"-1,425845","-48,4742543",22:30:00
2021,JANEIRO,COQUEIRO BELEM,BELEM,VIA PUBLICA,"-1,3569173","-48,4407264",12:00:00
2021,SETEMBRO,GUAMA,BELEM,VIA PUBLICA,"-1,4752832","-48,465522",06:00:00
2021,AGOSTO,AGUA BOA,OUTEIRO,VIA PUBLICA,"-1,3542163","-48,4395872",19:00:00
2021,DEZEMBRO,SOUZA,BELEM,VIA PUBLICA,"-1,40803","-48,4559986",05:00:00
2021,OUTUBRO,PONTA GROSSA,ICOARACI,VIA PUBLICA,"-1,311381","-48,480927",19:30:00
2021,FEVEREIRO,SAO BRAS,BELEM,VIA PUBLICA,"-1,4546566","-48,4697187",11:30:00
2021,MARCO,CASTANHEIRA,BELEM,VIA PUBLICA,"-1,4091803","-48,438745",07:30:00
2021,FEVEREIRO,TAPANA,ICOARACI,OUTROS,"-1,3377241","-48,4682825",01:30:00
2021,MARCO,CASTANHEIRA,BELEM,VIA PUBLICA,"-1,4084993","-48,4368877",23:30:00
2021,JULHO,MARAMBAIA,BELEM,VIA PUBLICA,"-1,4011381","-48,4346545",22:00:00
2022,OUTUBRO,PARQUE GUAJARA,ICOARACI,VIA PUBLICA,"-1,321894","-48,4504714",08:40:00
2022,OUTUBRO,SAO BRAS,BELEM,VIA PUBLICA,"-1,450175166","-48,471229553",02:45:00
2022,OUTUBRO,TENONE,ICOARACI,VIA PUBLICA,"-1,3184982","-48,4524588",04:15:00
2022,AGOSTO,COQUEIRO BELEM,BELEM,VIA PUBLICA,"-1,3556665","-48,4298149",06:55:00
2022,ABRIL,JURUNAS,BELEM,ESTABELECIMENTOS DE SAUDE,"-1,47275","-48,4853539",08:55:00
2022,AGOSTO,SOUZA,BELEM,VIA PUBLICA,"-1,406609","-48,4664287",21:00:00
2022,SETEMBRO,JURUNAS,BELEM,VIA PUBLICA,"-1,4752786","-48,4944678",08:00:00
2022,NOVEMBRO,PARQUE VERDE,BELEM,VIA PUBLICA,"-1,3501429","-48,4526729",09:30:00
2022,MAIO,PARACURI,ICOARACI,VIA PUBLICA,"-1,3141087","-48,4849857",03:15:00
2022,AGOSTO,PARQUE GUAJARA,ICOARACI,VIA PUBLICA,"-1,321894","-48,4504714",03:30:00
2022,NOVEMBRO,VAL-DE-CANS,BELEM,VIA PUBLICA,"-1,3851244","-48,4602",03:00:00
