ano,mes,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,DEZEMBRO,CARANANDUBA,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,0942248","-48,4099249",13:25:00
2019,OUTUBRO,SOUZA,BELEM,VIA PUBLICA,"-1,4274526","-48,4524073",16:30:00
2019,JANEIRO,MARCO,BELEM,RESIDENCIA PARTICULAR,"-1,4401607","-48,4646987",18:00:00
2019,JUNHO,COQUEIRO BELEM,BELEM,RESIDENCIA PARTICULAR,"-1,3581326","-48,4319751",12:00:00
2019,OUTUBRO,PEDREIRA,BELEM,RESIDENCIA PARTICULAR,"-1,4263724","-48,4711704",12:50:00
2019,JUNHO,CASTANHEIRA,BELEM,"HOTEL, PENSAO, ETC","-1,4032579","-48,4245347",12:00:00
2019,JULHO,PEDREIRA,BELEM,CONDOMINIO RESIDENCIAL,"-1,4384596","-48,4698964",22:30:00
2019,AGOSTO,BENGUI,BELEM,RESIDENCIA PARTICULAR,"-1,3774752","-48,4566001",01:00:00
2019,DEZEMBRO,MARACANGALHA,BELEM,RESIDENCIA PARTICULAR,"-1,4048364","-48,4766779",18:15:00
2019,JUNHO,SAO JOAO DO OUTEIRO,OUTEIRO,RESIDENCIA PARTICULAR,"-1,2623298","-48,4629988",15:15:00
2019,DEZEMBRO,AGUAS NEGRAS,ICOARACI,RESIDENCIA PARTICULAR,"-1,2862724","-48,4593319",19:30:00
2019,OUTUBRO,JURUNAS,BELEM,OUTROS,,,15:34:00
2019,JANEIRO,CANUDOS,BELEM,RESIDENCIA PARTICULAR,"-1,4513308","-48,4642736",14:00:00
2019,OUTUBRO,CABANAGEM,BELEM,RESIDENCIA PARTICULAR,"-1,3604441","-48,4365922",18:00:00
2019,AGOSTO,AGUAS NEGRAS,ICOARACI,RESIDENCIA PARTICULAR,"-1,303087831","-48,45391464",17:30:00
2019,AGOSTO,MARACACUERA,ICOARACI,RESIDENCIA PARTICULAR,"-1,2978573","-48,4614365",11:00:00
2019,NOVEMBRO,BATISTA CAMPOS,BELEM,OUTROS,"-1,460937","-48,4902109",10:00:00
2019,JULHO,COQUEIRO BELEM,BELEM,"CAFE, BAR, RESTAURANTE","-1,3385477","-48,4428689",15:00:00
2019,NOVEMBRO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3394667","-48,4682766",11:20:00
2019,NOVEMBRO,CAMPINA,BELEM,RESIDENCIA PARTICULAR,"-1,4513001","-48,4966613",03:00:00
2019,NOVEMBRO,CASTANHEIRA,BELEM,VIA PUBLICA,"-1,4084993","-48,4368877",23:00:00
2019,DEZEMBRO,SAO JOAO DO OUTEIRO,OUTEIRO,RESIDENCIA PARTICULAR,"-1,25885","-48,4647843",00:55:00
2019,JULHO,CAMPINA DE ICOARACI,ICOARACI,RESIDENCIA PARTICULAR,"-1,2969328","-48,4689731",10:05:00
